masco_code,masco_code_printed,role_title,source_parent_group_code,flexible_role,profile_text
231101,2311-01,University Lecturer Grade DS45,2311,False,"University Lecturer Grade DS45. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231102,2311-02,Medical Lecturer Grade DU51P,2311,False,"Medical Lecturer Grade DU51P. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231103,2311-03,UiTM Lecturer Grade DM41,2311,False,"UiTM Lecturer Grade DM41. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231104,2311-04,UiTM Assistant Lecturer Grade DM29,2311,False,"UiTM Assistant Lecturer Grade DM29. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231105,2311-05,Dental Lecturer Grade DUG51P,2311,False,"Dental Lecturer Grade DUG51P. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231106,2311-06,Higher Learning Education Officer Grade DH41,2311,False,"Higher Learning Education Officer Grade DH41. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231107,2311-07,Higher Learning Education Officer Grade DH29,2311,False,"Higher Learning Education Officer Grade DH29. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231108,2311-08,Lecturer,2311,False,"Lecturer. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231109,2311-09,Tutor,2311,True,"Tutor. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231110,2311-10,Professor,2311,False,"Professor. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
