resume_id,split,masco_code,masco_role_title,premerge_masco_code,sparsity_action,source_parent_role_id,target_esco_code,target_esco_title,previous_esco_codes,text,compose_text_format
10232,test,243121,Business Development Executive,243121,retained_granular_class,R04,2431.5,business developer,2431.5,"title business developer ; skills analysing business operations, identifying opportunities, developing professional relationships or networks ; duration 0.50 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
10436,test,254302,Graphic Designer,254302,retained_granular_class,R06,2166.9,graphic designer,3431.1;5132.1;2166.9,"title photographer ; skills operating audio-visual equipment, creating visual displays and decorations, creating artistic designs or performances ; duration 10.50 years || title bartender ; skills serving food and drinks, preparing food and drinks, selling products or services ; duration 2.50 years || title graphic designer ; skills creating artistic designs or performances, creating visual displays and decorations, using digital tools for processing sound and images ; duration 1.25 years || education no tertiary qualification",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
104805,test,243136,Marketing Officer,243136,retained_granular_class,R04,2431.10.3,marketing assistant,2310.1.42;0210.2,"title university teaching assistant ; skills teaching academic or vocational subjects, developing instructive or promotional materials, conducting academic or market research ; duration 5.25 years || title sergeant ; skills maintaining and enforcing physical security, training on operational procedures, directing, supervising and coordinating projects ; duration 3.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
111731,test,243135,Digital Marketing Executive,243107,merged_to_six_digit_curated_anchor,R04,2431.11,market research analyst,2431.10,"title marketing consultant ; skills developing financial, business or marketing plans, identifying opportunities, analysing business operations ; duration 2.25 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
136259,test,243135,Digital Marketing Executive,243135,retained_granular_class,R04,2431.10.4,online marketer,2432.4,"title intercultural communication consultant ; skills implementing new procedures or processes, advising and consulting, conducting academic or market research ; duration 6.25 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
137103,test,231109,Tutor,231109,retained_granular_class,R10,2359.9,further education teacher,5223.4;3343.5,"title sales assistant ; skills providing general assistance to people, executing financial transactions, selling products or services ; duration 3.25 years || title scopist ; skills writing and composing, technical or academic writing, entering and transforming information ; duration 0.50 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
1405,test,242321,Talent Acquisition Consultant,242321,retained_granular_class,R03,2423.6,recruitment consultant,5230.1,"title cashier ; skills executing financial transactions, performing calculations, promoting products, services, or programs ; duration 5.25 years || education no tertiary qualification",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
146217,test,412107,Secretary,412107,retained_granular_class,R09,4120.1,secretary,3433.3,"title taxidermist ; skills assembling and fabricating products, hunting, trapping and slaughtering animals, analysing scientific and medical data ; duration 0.50 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
156639,test,231109,Tutor,231109,retained_granular_class,R10,2359.14,tutor,2264.2,"title physiotherapist ; skills complying with health and safety procedures, providing medical advice, providing medical, dental and nursing care ; duration 5.00 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
188999,test,431110,Account and Promotion Clerk,431110,retained_granular_class,R07,4311.2,sales support assistant,2431.10.3,"title marketing assistant ; skills performing general clerical and administrative tasks, conducting academic or market research, technical or academic writing ; duration 0.75 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
194801,test,412107,Secretary,412107,retained_granular_class,R09,4120.1,secretary,4211.2,"title post office counter clerk ; skills executing financial transactions, promoting products, services, or programs, selling products or services ; duration 3.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
198110,test,431110,Account and Promotion Clerk,431110,retained_granular_class,R07,4311.2,sales support assistant,4419.2;2431.10.3;3343.1,"title foreign language correspondence clerk ; skills using foreign languages, performing general clerical and administrative tasks, translating and interpreting ; duration 1.50 years || title marketing assistant ; skills performing general clerical and administrative tasks, conducting academic or market research, technical or academic writing ; duration 0.50 years || title administrative assistant ; skills performing general clerical and administrative tasks, planning events and programmes, managing, gathering and storing digital data ; duration 0.50 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
205654,test,412107,Secretary,412107,retained_granular_class,R09,4120.1,secretary,1212.1,"title employee volunteering programme coordinator ; skills developing professional relationships or networks, promoting products, services, or programs, working in teams ; duration 3.50 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
224425,test,242323,Human Resource Officer,242310,merged_to_six_digit_curated_anchor,R03,2423.4,labour relations officer,2422.12.15,"title social services policy officer ; skills advising on legal, regulatory or procedural matters, developing solutions, advocating for individual or community needs ; duration 14.50 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
231182,test,412107,Secretary,412107,retained_granular_class,R09,4120.1,secretary,1341.1,"title child care coordinator ; skills caring for children, planning events and programmes, maintaining and enforcing physical security ; duration 0.50 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
235788,test,231109,Tutor,231109,retained_granular_class,R10,2359.4,assessor of prior learning,3423.1;3343.2,"title activity leader ; skills planning events and programmes, caring for children, performing risk analysis and management ; duration 7.75 years || title editorial assistant ; skills gathering information from physical or electronic sources, analysing and evaluating information and data, presenting general information ; duration 3.75 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
237753,test,243110,Marketing Communications Specialist,243110,retained_granular_class,R04,2431.10,marketing consultant,1420.3,"title sales account manager ; skills promoting products, services, or programs, negotiating and managing contracts and agreements, maintaining operational records ; duration 0.50 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
243206,test,412107,Secretary,412107,retained_granular_class,R09,4120.1,secretary,2653.2,"title dancer ; skills performing artistic or cultural activities, creating artistic designs or performances, working in teams ; duration 5.75 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
249358,test,243121,Business Development Executive,243121,retained_granular_class,R04,2431.6,client relations manager,3431.2,"title photojournalist ; skills operating audio-visual equipment, developing professional relationships or networks, using digital tools for processing sound and images ; duration 8.50 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
251407,test,242321,Talent Acquisition Consultant,242321,retained_granular_class,R03,2423.6,recruitment consultant,9112.2,"title building cleaner ; skills cleaning interior and exterior of buildings, cleaning, maintaining operational records ; duration 4.25 years || education no tertiary qualification",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
259085,test,283303,Interpreter,283303,retained_granular_class,R05,2643.2,interpreter,5153.1.3,"title verger ; skills allocating and controlling physical resources, developing instructive or promotional materials, organising, planning and scheduling work and activities ; duration 3.50 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
26015,test,431118,Billing Clerk,431118,retained_granular_class,R07,4311.1,billing clerk,4226.1.1;4412.1,"title front line medical receptionist ; skills complying with operational procedures, working in teams, performing general clerical and administrative tasks ; duration 3.50 years || title mail clerk ; skills maintaining operational records, collaborating and liaising, protecting privacy and personal data ; duration 1.25 years || education no tertiary qualification",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
26289,test,412107,Secretary,412107,retained_granular_class,R09,4120.1,secretary,4132.1,"title data entry clerk ; skills managing, gathering and storing digital data, entering and transforming information, using word processing, publishing and presentation software ; duration 0.50 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
275805,test,231109,Tutor,231109,retained_granular_class,R10,2359.7,e-learning developer,2330.1;2341.1,"title secondary school teacher ; skills teaching academic or vocational subjects, monitoring and evaluating the performance of individuals, teaching and training ; duration 0.50 years || title primary school teacher ; skills monitoring and evaluating the performance of individuals, coaching and mentoring, caring for children ; duration 1.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
288730,test,254302,Graphic Designer,254302,retained_granular_class,R06,2166.9,graphic designer,3521.1.2,"title camera operator ; skills operating audio-visual equipment, creating artistic designs or performances, creating visual displays and decorations ; duration 6.75 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
328640,test,231109,Tutor,231109,retained_granular_class,R10,2359.3,admissions coordinator,9622.1,title handyman ; duration 9.25 years || education master,prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
329932,test,283303,Interpreter,283303,retained_granular_class,R05,2643.2,interpreter,2643.6;1324.3.1.5,"title translator ; skills translating and interpreting, technical or academic writing, using foreign languages ; duration 2.00 years || title road transport division manager ; skills planning production processes, managing transport and logistics activities, supervising a team or group ; duration 0.75 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
333495,test,242321,Talent Acquisition Consultant,242321,retained_granular_class,R03,2423.6,recruitment consultant,2359.11;2652.2,"title learning mentor ; skills coaching and mentoring, collaborating and liaising, advising on educational or vocational matters ; duration 4.25 years || title music director ; skills composing music, planning events and programmes, performing artistic or cultural activities ; duration 3.25 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
336832,test,243135,Digital Marketing Executive,243135,retained_granular_class,R04,2431.10.4,online marketer,2432.5,"title online community manager ; skills developing financial, business or marketing plans, using digital tools for collaboration and productivity, analysing business operations ; duration 3.50 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
348337,test,243135,Digital Marketing Executive,243135,retained_granular_class,R04,2431.10.4,online marketer,0210.2;3332.1;1111.1;3332.1,"title sergeant ; skills maintaining and enforcing physical security, training on operational procedures, directing, supervising and coordinating projects ; duration 6.25 years || title event assistant ; skills planning events and programmes, collaborating and liaising, directing operational activities ; duration 6.25 years || title city councillor ; skills developing professional relationships or networks, advocating for individual or community needs, advising on legal, regulatory or procedural matters ; duration 3.25 years || title event assistant ; skills planning events and programmes, collaborating and liaising, directing operational activities ; duration 1.25 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
349092,test,431110,Account and Promotion Clerk,431110,retained_granular_class,R07,4311.2,sales support assistant,3343.1;5223.5,"title administrative assistant ; skills performing general clerical and administrative tasks, planning events and programmes, managing, gathering and storing digital data ; duration 0.50 years || title sales processor ; skills managing, gathering and storing digital data, entering and transforming information, organising, planning and scheduling work and activities ; duration 0.50 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
355159,test,422207,Customer Contact Centre Information Clerk,422207,retained_granular_class,R08,4222.1,customer contact centre information clerk,5311.1.3,"title child day care worker ; skills providing support to resolve problems, caring for children, complying with operational procedures ; duration 5.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
367092,test,243135,Digital Marketing Executive,243101,merged_to_six_digit_curated_anchor,R04,2431.7,creative director,2651.6,"title drawing artist ; skills creating artistic designs or performances, creating visual displays and decorations, developing instructive or promotional materials ; duration 5.50 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
379152,test,243121,Business Development Executive,243121,retained_granular_class,R04,2431.5,business developer,9333.8.1,"title warehouse order picker ; skills storing goods and materials, moving or lifting materials, equipment, or supplies, marking materials or objects for identification ; duration 3.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
403570,test,254316,Digital Designer,254316,retained_granular_class,R06,2166.5,digital artist,2635.3.27,"title youth worker ; skills advocating for individual or community needs, complying with operational procedures, developing professional relationships or networks ; duration 1.50 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
406243,test,422207,Customer Contact Centre Information Clerk,422207,retained_granular_class,R08,4222.1,customer contact centre information clerk,3343.1,"title administrative assistant ; skills performing general clerical and administrative tasks, planning events and programmes, managing, gathering and storing digital data ; duration 1.50 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
415442,test,412107,Secretary,412107,retained_granular_class,R09,4120.1,secretary,5162.1,"title companion ; skills preparing food and drinks, cleaning interior and exterior of buildings, washing and maintaining textiles and clothing ; duration 7.75 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
41785,test,254302,Graphic Designer,254302,retained_granular_class,R06,2166.9,graphic designer,2166.9,"title graphic designer ; skills creating artistic designs or performances, creating visual displays and decorations, using digital tools for processing sound and images ; duration 1.25 years || education no tertiary qualification",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
427173,test,252403,Data Analyst,252418,merged_to_six_digit_curated_anchor,R02,2511.16,ICT system integration consultant,5249.2.2,"title rental service representative in personal and household goods ; skills selling products or services, executing financial transactions, advising on products and services ; duration 13.75 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
444439,test,254302,Graphic Designer,254302,retained_granular_class,R06,2166.9,graphic designer,2166.9,"title graphic designer ; skills creating artistic designs or performances, creating visual displays and decorations, using digital tools for processing sound and images ; duration 1.25 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
50715,test,283302,Translator,283307,merged_to_six_digit_curated_anchor,R05,2643.6.2,subtitler,2642.1.7;9334.1,"title critic ; skills developing professional relationships or networks, writing and composing, gathering information from physical or electronic sources ; duration 3.75 years || title shelf filler ; skills complying with health and safety procedures, marking materials or objects for identification, storing goods and materials ; duration 3.75 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
62903,test,242323,Human Resource Officer,242307,merged_to_six_digit_curated_anchor,R03,2423.2,employment and vocational integration consultant,2635.3.27,"title youth worker ; skills advocating for individual or community needs, complying with operational procedures, developing professional relationships or networks ; duration 3.75 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
72634,test,254316,Digital Designer,254316,retained_granular_class,R06,2166.7,digital media designer,4221.6,"title tour organiser ; skills developing professional relationships or networks, promoting products, services, or programs, planning events and programmes ; duration 4.75 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
89414,test,412107,Secretary,412107,retained_granular_class,R09,4120.1,secretary,4311.1,"title billing clerk ; skills preparing financial documents, records, reports, or budgets, executing financial transactions, performing general clerical and administrative tasks ; duration 0.50 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
