esco_code,esco_title,normalized_title,esco_occupation_uri,esco_title_matrix,top_skill_groups,top_skill_groups_weighted,top_skill_count,mapping_status,masco_candidate_code,masco_unit_group_title_en,masco_mapping_status,jobhop_record_count,work_length_median_years,work_length_mean_years,work_length_p25_years,work_length_p75_years
0110.10,lieutenant,lieutenant,http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2,lieutenant,"training on operational procedures | maintaining and enforcing physical security | leading and motivating | advising on business or operational matters | supervising a team or group | communicating with colleagues and clients | performing general clerical and administrative tasks | technical or academic writing | developing operational policies and procedures | giving instructions | installing wooden and metal components | ensuring compliance with legislation | protecting privacy and personal data | directing, supervising and coordinating projects | monitoring safety or security | operating communications equipment","training on operational procedures::0.148148 | maintaining and enforcing physical security::0.111111 | leading and motivating::0.074074 | advising on business or operational matters::0.074074 | supervising a team or group::0.074074 | communicating with colleagues and clients::0.074074 | performing general clerical and administrative tasks::0.074074 | technical or academic writing::0.074074 | developing operational policies and procedures::0.037037 | giving instructions::0.037037 | installing wooden and metal components::0.037037 | ensuring compliance with legislation::0.037037 | protecting privacy and personal data::0.037037 | directing, supervising and coordinating projects::0.037037 | monitoring safety or security::0.037037 | operating communications equipment::0.037037",16.0,official_title_exact,0110,,no_candidate,7,1.25,1.9642857142857142,1.0,1.75
0110.2,armed forces officer,armed forces officer,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,armed forces officer,"maintaining and enforcing physical security | communicating with colleagues and clients | directing, supervising and coordinating projects | training on operational procedures | protecting and enforcing | advocating for individual or community needs | operating communications equipment | ensuring compliance with legislation | organising, planning and scheduling work and activities | leading and motivating | developing operational policies and procedures | giving instructions | conducting studies, investigations and examinations | allocating and controlling physical resources | performing risk analysis and management | technical or academic writing | collaborating and liaising | managing, gathering and storing digital data | complying with health and safety procedures | performing artistic or cultural activities | driving heavy vehicles | planning events and programmes | directing operational activities","maintaining and enforcing physical security::0.142857 | communicating with colleagues and clients::0.095238 | directing, supervising and coordinating projects::0.071429 | training on operational procedures::0.071429 | protecting and enforcing::0.047619 | advocating for individual or community needs::0.047619 | operating communications equipment::0.047619 | ensuring compliance with legislation::0.047619 | organising, planning and scheduling work and activities::0.047619 | leading and motivating::0.047619 | developing operational policies and procedures::0.047619 | giving instructions::0.023810 | conducting studies, investigations and examinations::0.023810 | allocating and controlling physical resources::0.023810 | performing risk analysis and management::0.023810 | technical or academic writing::0.023810 | collaborating and liaising::0.023810 | managing, gathering and storing digital data::0.023810 | complying with health and safety procedures::0.023810 | performing artistic or cultural activities::0.023810 | driving heavy vehicles::0.023810 | planning events and programmes::0.023810 | directing operational activities::0.023810",23.0,official_title_exact,0110,,no_candidate,4,4.875,7.6875,1.5625,11.0
0110.4,army general,army general,http://data.europa.eu/esco/occupation/c6e5e0e7-fa99-4f71-9fc1-9889d85282a5,army general,"developing operational policies and procedures | protecting and enforcing | performing general clerical and administrative tasks | managing budgets or finances | analysing and evaluating information and data | allocating and controlling physical resources | developing policies and legislation | advocating for individual or community needs | communicating with colleagues and clients | supervising a team or group | protecting privacy and personal data | presenting general information | management skills | maintaining and enforcing physical security | directing, supervising and coordinating projects | monitoring safety or security | monitoring quality of products | complying with health and safety procedures","developing operational policies and procedures::0.103448 | protecting and enforcing::0.068966 | performing general clerical and administrative tasks::0.068966 | managing budgets or finances::0.068966 | analysing and evaluating information and data::0.068966 | allocating and controlling physical resources::0.068966 | developing policies and legislation::0.068966 | advocating for individual or community needs::0.068966 | communicating with colleagues and clients::0.068966 | supervising a team or group::0.068966 | protecting privacy and personal data::0.034483 | presenting general information::0.034483 | management skills::0.034483 | maintaining and enforcing physical security::0.034483 | directing, supervising and coordinating projects::0.034483 | monitoring safety or security::0.034483 | monitoring quality of products::0.034483 | complying with health and safety procedures::0.034483",18.0,official_title_exact,0110,,no_candidate,1,6.25,6.25,6.25,6.25
0110.6,artillery officer,artillery officer,http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3,artillery officer,"maintaining and enforcing physical security | protecting and enforcing | leading and motivating | ensuring compliance with legislation | communicating with colleagues and clients | operating communications equipment | developing operational policies and procedures | driving heavy vehicles | giving instructions | carrying out forensic and police investigations | performing risk analysis and management | training on operational procedures | complying with health and safety procedures | interpreting technical documentation and diagrams | directing, supervising and coordinating projects | monitoring safety or security | accepting feedback","maintaining and enforcing physical security::0.281250 | protecting and enforcing::0.062500 | leading and motivating::0.062500 | ensuring compliance with legislation::0.062500 | communicating with colleagues and clients::0.062500 | operating communications equipment::0.062500 | developing operational policies and procedures::0.062500 | driving heavy vehicles::0.062500 | giving instructions::0.031250 | carrying out forensic and police investigations::0.031250 | performing risk analysis and management::0.031250 | training on operational procedures::0.031250 | complying with health and safety procedures::0.031250 | interpreting technical documentation and diagrams::0.031250 | directing, supervising and coordinating projects::0.031250 | monitoring safety or security::0.031250 | accepting feedback::0.031250",17.0,official_title_exact,0110,,no_candidate,0,,,,
0110.7,brigadier,brigadier,http://data.europa.eu/esco/occupation/bbd1fe06-1b55-4937-9317-fc162311ab38,brigadier,"supervising a team or group | allocating and controlling physical resources | developing operational policies and procedures | protecting and enforcing | communicating with colleagues and clients | directing, supervising and coordinating projects | analysing and evaluating information and data | performing general clerical and administrative tasks | advocating for individual or community needs | estimating resource needs | collaborating and liaising | testing electrical and mechanical systems or equipment | technical or academic writing | training on operational procedures | protecting privacy and personal data | advising on business or operational matters | managing budgets or finances | protecting ict devices | monitoring quality of products | performing risk analysis and management","supervising a team or group::0.117647 | allocating and controlling physical resources::0.088235 | developing operational policies and procedures::0.088235 | protecting and enforcing::0.058824 | communicating with colleagues and clients::0.058824 | directing, supervising and coordinating projects::0.058824 | analysing and evaluating information and data::0.058824 | performing general clerical and administrative tasks::0.058824 | advocating for individual or community needs::0.058824 | estimating resource needs::0.058824 | collaborating and liaising::0.029412 | testing electrical and mechanical systems or equipment::0.029412 | technical or academic writing::0.029412 | training on operational procedures::0.029412 | protecting privacy and personal data::0.029412 | advising on business or operational matters::0.029412 | managing budgets or finances::0.029412 | protecting ict devices::0.029412 | monitoring quality of products::0.029412 | performing risk analysis and management::0.029412",20.0,official_title_exact,0110,,no_candidate,2,4.625,4.625,3.3125,5.9375
0210.2,sergeant,sergeant,http://data.europa.eu/esco/occupation/cb3b2662-774a-4e6f-841e-f120244d7031,sergeant,"maintaining and enforcing physical security | training on operational procedures | directing, supervising and coordinating projects | ensuring compliance with legislation | advocating for individual or community needs | leading and motivating | advising on business or operational matters | communicating with colleagues and clients | monitoring quality of products | allocating and controlling physical resources | operating communications equipment | directing operational activities | managing, gathering and storing digital data | giving instructions | driving heavy vehicles | planning events and programmes | providing health care or medical treatments","maintaining and enforcing physical security::0.161290 | training on operational procedures::0.096774 | directing, supervising and coordinating projects::0.096774 | ensuring compliance with legislation::0.064516 | advocating for individual or community needs::0.064516 | leading and motivating::0.064516 | advising on business or operational matters::0.064516 | communicating with colleagues and clients::0.064516 | monitoring quality of products::0.064516 | allocating and controlling physical resources::0.032258 | operating communications equipment::0.032258 | directing operational activities::0.032258 | managing, gathering and storing digital data::0.032258 | giving instructions::0.032258 | driving heavy vehicles::0.032258 | planning events and programmes::0.032258 | providing health care or medical treatments::0.032258",17.0,official_title_exact,0210,,no_candidate,23,4.0,5.413043478260869,1.625,6.0
0210.3,special forces officer,special forces officer,http://data.europa.eu/esco/occupation/1de91afd-9da2-47ab-a7e7-19bf931709a4,special forces officer,"maintaining and enforcing physical security | communicating with colleagues and clients | protecting and enforcing | managing, gathering and storing digital data | protecting privacy and personal data | carrying out forensic and police investigations | developing operational policies and procedures | leading and motivating | ensuring compliance with legislation | conducting studies, investigations and examinations | conducting academic or market research | performing risk analysis and management | operating communications equipment | complying with health and safety procedures | accepting feedback | technical or academic writing | giving instructions | driving heavy vehicles | planning events and programmes | providing health care or medical treatments","maintaining and enforcing physical security::0.200000 | communicating with colleagues and clients::0.100000 | protecting and enforcing::0.050000 | managing, gathering and storing digital data::0.050000 | protecting privacy and personal data::0.050000 | carrying out forensic and police investigations::0.050000 | developing operational policies and procedures::0.050000 | leading and motivating::0.050000 | ensuring compliance with legislation::0.050000 | conducting studies, investigations and examinations::0.050000 | conducting academic or market research::0.050000 | performing risk analysis and management::0.050000 | operating communications equipment::0.025000 | complying with health and safety procedures::0.025000 | accepting feedback::0.025000 | technical or academic writing::0.025000 | giving instructions::0.025000 | driving heavy vehicles::0.025000 | planning events and programmes::0.025000 | providing health care or medical treatments::0.025000",20.0,official_title_exact,0210,,no_candidate,4,2.5,2.25,1.75,3.0
0210.4,warfare specialist,warfare specialist,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,warfare specialist,"maintaining and enforcing physical security | operating communications equipment | communicating with colleagues and clients | directing, supervising and coordinating projects | protecting privacy and personal data | performing risk analysis and management | developing operational policies and procedures | leading and motivating | managing, gathering and storing digital data | technical or academic writing | ensuring compliance with legislation | installing wooden and metal components | driving heavy vehicles | developing objectives and strategies | carrying out forensic and police investigations | providing information to the public and clients | conducting studies, investigations and examinations | giving instructions | accepting feedback","maintaining and enforcing physical security::0.179487 | operating communications equipment::0.128205 | communicating with colleagues and clients::0.076923 | directing, supervising and coordinating projects::0.076923 | protecting privacy and personal data::0.076923 | performing risk analysis and management::0.051282 | developing operational policies and procedures::0.051282 | leading and motivating::0.051282 | managing, gathering and storing digital data::0.051282 | technical or academic writing::0.025641 | ensuring compliance with legislation::0.025641 | installing wooden and metal components::0.025641 | driving heavy vehicles::0.025641 | developing objectives and strategies::0.025641 | carrying out forensic and police investigations::0.025641 | providing information to the public and clients::0.025641 | conducting studies, investigations and examinations::0.025641 | giving instructions::0.025641 | accepting feedback::0.025641",19.0,official_title_exact,0210,,no_candidate,6,1.625,1.9166666666666667,1.0,2.8125
0310.1,air force pilot,air force pilot,http://data.europa.eu/esco/occupation/c94dc5b2-6b23-4915-8de5-a4e6ae86d802,air force pilot,operating communications equipment | ensuring compliance with legislation | complying with operational procedures | operating aircraft | interpreting technical documentation and diagrams | maintaining and enforcing physical security | analysing and evaluating information and data | following instructions and procedures | monitoring operational activities | gathering information from physical or electronic sources | complying with health and safety procedures | monitoring environmental conditions | operating rail vehicles | communicating with colleagues and clients | developing solutions | performing risk analysis and management | directing operational activities | planning events and programmes | maintaining operational records,operating communications equipment::0.140351 | ensuring compliance with legislation::0.122807 | complying with operational procedures::0.105263 | operating aircraft::0.105263 | interpreting technical documentation and diagrams::0.070175 | maintaining and enforcing physical security::0.052632 | analysing and evaluating information and data::0.052632 | following instructions and procedures::0.035088 | monitoring operational activities::0.035088 | gathering information from physical or electronic sources::0.035088 | complying with health and safety procedures::0.035088 | monitoring environmental conditions::0.035088 | operating rail vehicles::0.035088 | communicating with colleagues and clients::0.035088 | developing solutions::0.035088 | performing risk analysis and management::0.017544 | directing operational activities::0.017544 | planning events and programmes::0.017544 | maintaining operational records::0.017544,19.0,official_title_exact,0310,,no_candidate,0,,,,
0310.2,bomb disposal technician,bomb disposal technician,http://data.europa.eu/esco/occupation/fdc8adfb-1807-4146-98ae-3a26fbe19996,bomb disposal technician,maintaining and enforcing physical security | communicating with colleagues and clients | performing risk analysis and management | complying with health and safety procedures | using precision instrumentation and equipment | monitoring safety or security | installing interior or exterior infrastructure | ensuring compliance with legislation | following instructions and procedures | operating communications equipment | interpreting technical documentation and diagrams | protecting and enforcing | training animals | accepting feedback | giving instructions | collaborating and liaising | advising on business or operational matters | providing health care or medical treatments,maintaining and enforcing physical security::0.156250 | communicating with colleagues and clients::0.093750 | performing risk analysis and management::0.093750 | complying with health and safety procedures::0.062500 | using precision instrumentation and equipment::0.062500 | monitoring safety or security::0.062500 | installing interior or exterior infrastructure::0.062500 | ensuring compliance with legislation::0.062500 | following instructions and procedures::0.062500 | operating communications equipment::0.031250 | interpreting technical documentation and diagrams::0.031250 | protecting and enforcing::0.031250 | training animals::0.031250 | accepting feedback::0.031250 | giving instructions::0.031250 | collaborating and liaising::0.031250 | advising on business or operational matters::0.031250 | providing health care or medical treatments::0.031250,18.0,official_title_exact,0310,,no_candidate,0,,,,
